x,y
-5.124479469463334436e-01,-5.644066892519711276e-02
7.587715817472798774e-01,-8.989966677606057166e-01
1.375336185148047230e-01,5.378354663829022497e-01
1.030114652241337914e-01,-9.813719006912917653e-01
-1.689595105652661911e+00,-3.764519506166040808e-01
1.245248152898126071e+00,1.343552632564827265e-01
-5.753653437879016064e-01,6.582694363499064227e-01
-7.660038761548353392e-01,-4.222163414470517795e-01
7.180257552179943881e-01,-1.511594017720481631e+00
-1.165041194012924386e+00,-1.223345663073438727e+00
2.499277285445859587e+00,2.064090876703063682e+00
-1.040350240490941935e+00,3.744384961652807986e-01
1.281836689801548745e+00,7.490766314615681098e-01
8.468031705276092280e-01,-8.562622300626527849e-01
2.468125276492247000e+00,2.783154798243279160e-01
-1.485076261965728173e-01,-6.694218879104978370e-01
-3.860617945938137896e-01,-2.172162049135653916e+00
3.205464873510421309e-01,-1.083787056490516321e+00
4.155910962088413263e-01,1.095488054910211673e-01
-2.095451510322050570e+00,2.096183890605388900e+00
8.088718010146411785e-01,-1.146940485738691118e-01
-1.784602824509398333e+00,-3.306373149386204191e-01
5.697829059436263499e-01,-1.118045753195414660e+00
-1.192554107062223423e+00,-5.846121023061352506e-01
-7.602720696974456516e-01,-9.792953003142854662e-01
2.429401139687862532e+00,1.208306121927836596e+00
1.466043798322612668e+00,-6.199525007969919344e-01
-1.311067986246811312e+00,7.557176211251845910e-01
-1.485381460719337188e+00,-4.048817552429557765e-01
-7.736699106557219929e-01,5.895625394154033749e-01
3.089226235970377044e-02,-1.033528490424621360e+00
1.653469883755331049e-01,-7.029627269016660573e-01
-5.681644153196678815e-01,-1.869296819031660117e+00
-2.047424383901046419e+00,-4.213853818628332526e-01
1.750931796357047432e+00,1.081273235903095209e+00
-1.065361557963280914e+00,1.598338706125416842e+00
8.741436935079760495e-01,-1.488627661072267072e-01
-6.400757573470219342e-01,8.453867973184607809e-01
2.017683047997203827e-01,-1.626811389171828548e+00
-1.290182116613177499e+00,-1.116613504297589543e+00
-2.268425592794268475e+00,1.389360977846076706e+00
1.188313996275290885e+00,-6.099341975560158557e-01
4.915209101069341058e-01,-1.351201993909443733e+00
-1.175921428566901739e-01,4.764960428130043946e-01
8.387204936710235259e-02,2.344402050407563554e-01
-9.221091858272890684e-01,1.178158692162461163e+00
-5.718092097559442921e-01,4.473526526532852765e-01
-1.772732386959835260e+00,2.014632735375761818e+00
-6.160030948143011553e-01,-7.414833782469526513e-01
4.344843630681576863e-01,-1.215314179988563614e+00
-2.961355546850871767e-01,-7.677360063904801191e-01
-3.515474812913606528e-01,9.333796657689440446e-01
-9.253259752422832163e-01,7.960350268983988897e-01
